数量,ﾊﾟｰﾂ番号,ﾀｲﾌﾟ,名称,改訂,定義,ﾌﾟﾛﾀﾞｸﾄ記述,ｿｰｽ,番号,ｿｰｽ,ﾃﾞﾌｫﾙﾄ ﾓﾃﾞﾙ ｿｰｽ,Name,Owner,ｺﾒﾝﾄ,名前付きURLのﾘｽﾄ,子
20,ORIGIN,ﾊﾟｰﾂ, , , , ,不明,,不明,\\aplqdte8815\Shared\RG\ROBOT\HK\HK010_190228\RC010\PARTS\ORIGIN.CATPart,ORIGIN,ORIGIN.CATPart, ,CATCkeList,List
1,HK030-11010,ﾊﾟｰﾂ,"AMP BRACKET(BLDC-CSCR) 2, Cart",2019.8.29 豊島,A5052-H34(t=3),(元品番 RC010-25010-B),作成,,作成,\\aplqdte8815\Shared\RG\ROBOT\HK\HK010_190228\HK030\01_Cart\HK030-11010.CATPart,HK030-11010,HK030-11010.CATPart, ,CATCkeList,List
1,PROP-R501-11,ﾊﾟｰﾂ,"BOARD SUB-ASSY, MOTOR CONTROL BOARD BLDC",2017.11.2 三佐尾,BLDCモータアンプ基板,萩原電気 サンビーオフィス 旧品番 DXRF6-01650_R501 品番付与　PROP_BLDC_R501_P2　→　PROP-R501-11　12/14　三佐尾,作成,,作成,\\aplqdte8815\Shared\RG\ROBOT\HK\HK010_190228\RC010\PARTS\PROP-R501-11.CATPart,PROP-R501-11,PROP-R501-11.CATPart, ,CATCkeList,List
39,CBE3-6,ﾊﾟｰﾂ,HEXIAGON SOCKET HEAD CAP SCREW,2019.2.25 豊島,六角穴付ボルト,㈱ミスミ CBE3-6,購入,,購入,\\aplqdte8815\Shared\RG\ROBOT\HK\HK010_190228\HK010\Parts\CBE3-6.CATPart,CBE3-6,CBE3-6.CATPart, ,CATCkeList,List
1,PROP-R501-12,ﾊﾟｰﾂ,"BOARD SUB-ASSY, MOTOR CONTROL BOARD BLDC",2017.11.2 三佐尾,BLDCモータアンプ基板,萩原電気 サンビーオフィス 旧品番 DXRF6-01650_R501 品番付与　PROP_BLDC_R501_P2　→　PROP-R501-12　12/14　三佐尾,作成,,作成,\\aplqdte8815\Shared\RG\ROBOT\HK\HK010_190228\RC010\PARTS\PROP-R501-12.CATPart,PROP-R501-12,PROP-R501-12.CATPart, ,CATCkeList,List
1,RC010-25020-A,ﾊﾟｰﾂ,AMP COVER,2017.12.5 三佐尾,U-PVC 灰色,"R501(Phase3用)A付 切削形状（材質変更,形状変更） 2018.11.26 嶋村",作成,,作成,\\aplqdte8815\Shared\RG\ROBOT\HK\HK010_190228\RC010\2_BASE\RC010-25020-A.CATPart,RC010-25020-A,RC010-25020-A.CATPart, ,CATCkeList,List
1,DXRF6-01790,ﾊﾟｰﾂ, ,2017.12.12 三佐尾, ,"BOARD SUB-ASSY, SUPER POWER DELIVERY 電気_糸澤設計",不明,,不明,\\aplqdte8815\Shared\RG\ROBOT\HK\HK010_190228\RC010\PARTS\DXRF6-01790.CATPart,DXRF6-01790,DXRF6-01790.CATPart, ,CATCkeList,List
1,HK030-12010,ﾊﾟｰﾂ,"MAIN PLATE, Cart",2019.8.24 豊島,A5052-H34(t=6),(元品番:HK010-12010-B),作成,,作成,\\aplqdte8815\Shared\RG\ROBOT\HK\HK010_190228\HK030\01_Cart\HK030-12010.CATPart,HK030-12010,HK030-12010.CATPart, ,CATCkeList,List
1,HK030-12020,ﾊﾟｰﾂ,"URG BRACKET 1, Cart",2019.8.27 豊島,A5052-H112,(元品番:HK010-12020),作成,,作成,\\aplqdte8815\Shared\RG\ROBOT\HK\HK010_190228\HK030\01_Cart\HK030-12020.CATPart,HK030-12020,HK030-12020.CATPart, ,CATCkeList,List
1,HK030-12030,ﾊﾟｰﾂ,"URG BRACKET 2, Cart",2019.8.27 豊島,A5052-H112,(元品番:HK010-12030),作成,,作成,\\aplqdte8815\Shared\RG\ROBOT\HK\HK010_190228\HK030\01_Cart\HK030-12030.CATPart,HK030-12030,HK030-12030.CATPart, ,CATCkeList,List
